PaymentID,ShipmentID,Amount,PaymentDate,PaymentMethod
144,5443,86.48,2025-10-29 17:49:26.572,PayPal
145,92074,112.98,2026-01-23 10:32:15.248,Credit Card
146,37058,49.8,2025-06-24 04:18:14.514,Cash
147,58814,109.22,2025-05-26 02:47:59.576,Bank Transfer
148,11419,92.56,2025-07-29 14:39:56.967,Credit Card
149,48505,58.84,2025-03-25 09:15:16.990,Cash
150,62441,144.27,2025-10-16 02:10:37.022,PayPal
151,52220,46.57,2026-02-19 05:07:47.180,PayPal
152,50421,88.25,2025-03-02 18:38:37.910,PayPal
153,68016,87.13,2025-09-22 03:03:50.553,PayPal
154,26856,146.86,2025-11-23 21:44:02.868,Credit Card
155,19385,87.39,2025-06-15 05:42:48.304,PayPal
156,86303,60.3,2025-11-02 15:11:31.612,PayPal
157,71642,115.64,2025-03-06 12:09:05.886,Credit Card
158,98395,42.88,2025-05-08 21:57:03.121,Bank Transfer
159,15865,116.96,2025-03-20 05:00:49.515,Cash
160,74764,30.59,2025-04-01 16:35:20.413,Cash
161,36511,135.66,2025-12-22 00:15:58.649,Cash
162,99061,36.16,2025-07-12 19:16:42.495,Credit Card
163,46187,48.97,2025-08-13 07:19:25.650,PayPal
164,26375,120.81,2025-04-19 00:29:36.708,Cash
165,96621,71.52,2026-02-20 06:24:41.766,Credit Card
166,4617,148.61,2025-12-19 06:38:31.685,Bank Transfer
167,57272,32.85,2025-05-17 08:42:09.323,Cash
168,43160,55.64,2026-02-11 23:18:13.447,PayPal
169,38200,17.93,2026-02-18 18:21:49.444,PayPal
170,86839,29.32,2025-06-15 18:28:12.195,PayPal
171,93937,63.36,2026-01-20 01:49:10.119,Cash
172,44274,10.13,2025-12-21 00:33:15.193,Credit Card
173,497,113.98,2025-07-03 19:23:03.998,PayPal
174,61398,116.87,2025-08-03 04:38:34.068,Cash
175,25895,118.5,2026-01-29 10:21:12.177,PayPal
176,12618,69.36,2026-02-26 17:44:38.165,PayPal
177,32688,15.88,2025-12-13 20:09:54.138,Cash
178,73033,10.73,2026-02-11 19:38:06.433,PayPal
179,68772,105.12,2025-03-26 00:01:20.892,Bank Transfer
180,63092,94.34,2025-12-18 18:45:31.946,Bank Transfer
181,99342,126.58,2025-03-18 09:22:47.032,Bank Transfer
182,47647,7.45,2026-02-10 20:39:06.836,Cash
183,10857,74.45,2025-04-06 08:48:03.938,Cash
184,25776,92.53,2025-09-02 19:29:16.476,Bank Transfer
185,21789,98.06,2025-05-13 07:58:17.207,Cash
186,32751,147.42,2025-08-01 22:31:22.151,PayPal
187,54366,110.69,2025-12-25 17:37:57.352,Cash
188,80460,42.31,2025-10-18 22:35:02.111,Credit Card
189,76433,118.63,2025-04-17 08:11:34.738,PayPal
190,15461,124.38,2025-03-25 00:13:48.519,PayPal
191,27566,45.06,2025-11-28 04:26:38.941,Cash
192,31899,68.97,2025-10-11 16:46:23.839,Bank Transfer
193,63543,114.13,2026-01-16 21:24:44.013,Bank Transfer
194,1889,5.82,2026-01-29 04:51:45.074,PayPal
195,10902,36.05,2025-07-18 06:44:37.237,PayPal
196,83397,128.97,2025-07-20 14:19:53.910,Cash
197,40093,87.65,2025-04-05 10:36:04.192,Cash
198,17296,107.61,2026-01-10 10:10:15.037,Bank Transfer
199,34559,147.74,2025-11-19 13:43:42.516,Cash
200,72269,132.77,2025-08-22 21:22:15.602,Credit Card
201,98962,66.25,2025-06-18 04:12:22.661,Credit Card
202,34237,5.93,2025-08-21 05:08:02.546,Credit Card
203,50681,110.04,2025-12-21 20:19:57.202,Cash
204,1833,36.2,2025-09-24 06:40:47.877,Cash
205,28218,95.09,2025-12-06 18:20:17.966,Credit Card
206,5541,82.89,2026-01-15 15:59:45.037,Bank Transfer
207,19229,124.28,2026-01-23 08:26:02.959,Bank Transfer
208,15825,105.12,2026-01-30 07:49:12.116,Bank Transfer
209,39810,95.14,2025-12-12 05:26:34.525,PayPal
210,47599,136.49,2025-10-15 23:53:58.348,Bank Transfer
211,97975,129.22,2025-09-14 18:41:46.648,Bank Transfer
212,70085,135.96,2026-01-09 12:08:03.067,PayPal
213,50934,118.28,2025-12-29 12:57:57.576,Bank Transfer
214,60397,20.25,2025-07-02 09:42:14.501,Cash
215,93540,56.44,2025-09-25 05:25:19.238,Credit Card
216,27225,8.39,2025-06-18 10:24:03.488,Cash
217,36412,7.7,2025-06-23 00:38:43.249,PayPal
218,92456,92.03,2025-06-29 22:26:41.401,Credit Card
219,21240,137.64,2025-05-01 09:50:37.311,PayPal
220,83913,80.3,2025-04-15 01:17:51.730,PayPal
221,37768,60.33,2026-01-15 18:04:46.269,Bank Transfer
222,79185,48.28,2025-10-22 19:00:38.176,Cash
223,43579,137.4,2025-07-15 05:38:44.945,Bank Transfer
224,56569,57.85,2025-09-17 04:21:02.892,PayPal
225,66682,70.21,2025-06-07 04:16:07.949,Bank Transfer
226,45619,11.31,2025-12-13 07:25:15.958,PayPal
227,69772,101.93,2025-11-18 22:54:01.598,PayPal
228,9006,124.21,2025-11-08 09:16:25.357,Credit Card
229,90987,117.27,2025-12-21 21:14:15.627,PayPal
230,88059,84.0,2025-10-05 01:10:22.939,Cash
231,99870,143.34,2026-01-01 17:32:41.549,Cash
232,58494,115.92,2025-04-07 13:20:23.154,Cash
233,18352,110.65,2025-08-28 11:53:32.574,PayPal
234,105,127.18,2025-04-25 10:26:33.251,Credit Card
235,61911,132.65,2025-09-04 05:05:38.725,Bank Transfer
236,63023,77.59,2025-08-28 09:17:16.350,Credit Card
237,69249,35.94,2025-03-16 09:02:22.802,Bank Transfer
238,57247,44.64,2026-01-30 13:58:41.709,Credit Card
239,83579,84.23,2025-08-14 20:17:54.223,Bank Transfer
240,87496,39.24,2025-08-20 19:55:26.091,Bank Transfer
241,23417,121.29,2025-03-14 19:03:32.003,Cash
242,69412,111.36,2025-12-24 15:02:18.917,Bank Transfer
243,21984,21.97,2025-10-30 13:48:29.153,PayPal
244,98466,17.59,2025-08-19 03:05:51.500,Credit Card
245,74765,51.68,2025-04-18 14:31:38.167,Bank Transfer
246,95417,21.0,2025-06-22 05:59:59.276,Credit Card
247,5352,8.39,2025-11-15 11:38:58.380,Credit Card
248,12173,106.12,2025-07-10 14:18:14.051,Bank Transfer
249,64723,99.36,2025-08-30 21:44:30.776,PayPal
250,9463,17.62,2025-08-31 21:55:42.540,Bank Transfer
251,86489,49.1,2026-01-10 08:07:48.155,Bank Transfer
252,93716,42.17,2025-06-25 02:02:38.704,Credit Card
253,32724,64.84,2025-05-06 10:08:11.100,PayPal
254,1864,85.61,2025-04-06 10:11:16.278,Credit Card
255,49865,70.69,2025-12-08 19:05:39.235,Cash
256,15583,147.79,2025-08-02 02:53:05.628,PayPal
257,78215,8.38,2026-01-09 21:17:48.496,Credit Card
258,12813,138.21,2025-12-19 18:09:27.523,Credit Card
259,96730,14.51,2026-01-26 08:08:05.041,Cash
260,10035,94.03,2025-04-29 21:00:25.426,Cash
261,81840,56.01,2025-04-24 22:56:48.131,Bank Transfer
262,2575,34.08,2025-10-05 07:09:55.220,Credit Card
263,36433,11.27,2026-01-26 04:03:41.888,Credit Card
264,3461,135.53,2026-02-08 01:49:16.114,Cash
265,4651,87.84,2025-10-13 03:22:21.072,Credit Card
266,22086,68.25,2026-01-04 18:12:14.000,Cash
267,6754,134.18,2026-02-07 09:21:51.293,Cash
268,40321,8.98,2025-07-13 20:51:38.989,Bank Transfer
269,64916,52.0,2025-04-06 06:41:47.901,Credit Card
270,99778,9.91,2025-08-25 23:00:47.941,PayPal
271,31884,121.28,2025-03-10 07:14:02.216,Cash
272,62652,67.48,2025-10-19 17:00:45.365,Cash
273,40571,123.72,2025-05-11 09:36:19.550,Credit Card
274,13870,141.37,2025-10-29 10:01:00.338,PayPal
275,25949,19.67,2025-04-15 05:35:03.358,Bank Transfer
276,64601,38.81,2025-11-22 20:25:14.496,Cash
277,78315,116.95,2025-09-02 10:47:04.022,Bank Transfer
278,51399,6.37,2025-08-08 17:00:33.431,Cash
279,98335,12.53,2025-09-08 22:54:26.899,Bank Transfer
280,48891,68.23,2025-04-09 22:33:47.056,Cash
281,51597,121.28,2025-04-03 04:20:04.091,PayPal
282,79729,22.17,2025-11-04 04:43:04.870,Bank Transfer
283,31435,69.93,2025-03-16 03:47:51.924,Bank Transfer
284,54517,146.98,2025-06-23 18:50:23.157,Cash
285,38467,104.19,2025-08-24 09:29:58.200,Credit Card
286,64508,126.52,2025-11-04 12:37:04.000,PayPal
287,25525,130.85,2025-06-12 20:24:11.261,PayPal
288,86602,141.29,2025-10-17 23:31:04.951,Cash
289,7161,144.47,2025-10-14 19:52:42.328,Credit Card
290,22946,116.0,2025-05-14 22:41:24.091,Cash
291,2006,69.88,2025-09-27 16:44:33.011,Bank Transfer
292,63584,36.81,2025-11-22 12:10:01.349,Credit Card
293,39069,71.93,2026-02-11 17:25:46.351,Credit Card
294,13265,6.29,2025-04-22 00:39:30.895,Bank Transfer
295,68948,15.98,2025-11-17 00:13:09.853,Credit Card
296,60253,108.56,2025-07-29 16:36:55.227,Credit Card
297,64226,143.04,2026-02-03 12:22:03.610,PayPal
298,43877,41.68,2026-02-04 13:19:02.587,PayPal
299,47227,134.67,2025-08-11 15:56:17.142,PayPal
300,78790,120.22,2025-08-08 06:22:17.369,Credit Card
301,38576,103.27,2025-12-30 09:59:32.992,Credit Card
302,82509,91.73,2026-01-18 04:21:57.652,PayPal
303,50513,27.94,2025-12-08 13:26:36.231,Bank Transfer
304,75532,130.82,2025-08-20 11:16:39.960,PayPal
305,99087,10.8,2025-05-17 00:21:38.365,PayPal
306,91123,69.23,2025-07-24 16:12:29.126,Credit Card
307,55216,91.5,2026-02-10 12:53:17.796,Cash
308,1853,148.74,2025-07-16 13:22:02.065,Credit Card
309,63674,113.38,2025-12-03 22:50:00.441,Credit Card
310,25245,31.48,2025-06-08 04:58:31.704,Credit Card
311,24560,20.66,2025-09-09 02:55:28.747,Bank Transfer
312,47177,117.76,2025-03-31 06:20:00.711,Credit Card
313,24150,44.42,2025-09-30 07:50:41.924,Bank Transfer
314,50692,58.72,2025-04-09 08:27:09.251,Cash
315,41269,67.44,2025-06-19 20:16:27.678,Credit Card
316,40345,148.08,2026-01-02 12:10:58.351,PayPal
317,14029,14.73,2025-03-05 13:06:37.204,PayPal
318,78294,122.28,2025-05-11 22:57:59.921,Credit Card
319,82789,53.47,2026-02-28 04:17:49.629,PayPal
320,84323,146.62,2025-07-06 01:29:46.939,Credit Card
321,62499,5.08,2025-03-21 18:37:59.067,Credit Card
322,89026,56.27,2025-11-08 17:16:12.656,Cash
323,85145,144.2,2025-09-28 14:08:49.446,Bank Transfer
324,83121,108.43,2025-04-28 13:49:02.934,Bank Transfer
325,52009,136.96,2025-07-18 09:46:39.599,Cash
326,91255,93.87,2025-03-20 06:08:21.369,Cash
327,94211,80.61,2025-03-30 10:44:44.158,Credit Card
328,74540,93.46,2025-04-14 21:50:47.577,PayPal
329,64955,79.24,2026-01-19 19:46:05.159,Credit Card
330,92423,141.58,2026-02-04 01:04:40.135,PayPal
331,78972,117.4,2025-03-21 05:14:10.789,PayPal
332,29929,82.79,2025-08-20 23:15:30.190,Credit Card
333,49395,42.58,2026-01-29 21:15:47.641,Credit Card
334,94148,142.5,2025-05-09 10:51:14.268,PayPal
335,44841,92.36,2025-08-21 12:10:57.841,Bank Transfer
336,25564,49.66,2026-01-24 23:26:02.822,Bank Transfer
337,65026,95.47,2026-01-28 09:16:26.472,Credit Card
338,30624,90.1,2025-03-16 10:00:37.869,PayPal
339,43574,15.13,2025-04-16 19:29:07.716,Bank Transfer
340,7016,43.65,2025-11-05 09:42:50.209,Bank Transfer
341,63017,5.29,2025-03-21 05:42:30.693,Credit Card
342,74113,143.32,2026-01-05 07:22:21.516,PayPal
343,96668,8.3,2025-08-07 11:31:28.249,PayPal
344,51572,149.99,2025-03-21 03:19:25.671,PayPal
345,82731,73.39,2025-05-05 14:50:32.652,PayPal
346,38788,19.01,2025-09-12 14:21:56.512,Bank Transfer
347,65169,113.66,2025-08-20 06:02:22.970,Credit Card
348,81304,8.44,2025-11-01 15:09:23.845,PayPal
349,74684,31.64,2025-08-25 06:09:46.570,PayPal
350,48684,51.68,2025-11-07 21:07:25.840,Cash
351,32296,111.96,2025-03-07 05:41:01.996,Credit Card
352,89095,25.51,2025-04-20 20:34:01.526,PayPal
353,94983,93.81,2025-10-04 15:58:11.144,Bank Transfer
354,48688,27.16,2025-09-12 22:56:03.674,Bank Transfer
355,62193,87.59,2026-01-08 06:19:10.120,Credit Card
356,13440,88.36,2025-08-10 19:34:05.986,Cash
357,4995,52.73,2025-09-27 19:28:15.427,Cash
358,15053,76.36,2025-12-08 09:07:54.344,Bank Transfer
359,6402,133.27,2026-01-10 09:27:52.140,Credit Card
360,61473,5.05,2025-06-17 02:26:31.186,Bank Transfer
361,4568,22.5,2025-08-06 09:16:32.797,Credit Card
362,38684,21.15,2025-06-22 09:53:56.475,Cash
363,88463,116.33,2026-02-21 03:08:35.885,Credit Card
364,18134,148.58,2025-04-14 17:29:40.436,Cash
365,76196,74.93,2026-01-03 01:08:27.939,Credit Card
366,52394,67.51,2025-05-27 05:27:36.239,Credit Card
367,93800,69.07,2025-04-04 21:16:14.839,Cash
368,10814,143.66,2025-04-07 10:24:49.085,PayPal
369,10934,70.9,2025-06-06 08:36:32.550,Bank Transfer
370,31125,6.71,2026-01-25 19:46:59.474,Credit Card
371,8831,111.81,2026-01-09 12:02:45.060,Bank Transfer
372,10088,72.09,2025-08-11 13:24:51.095,PayPal
373,17773,125.21,2025-10-20 15:22:16.679,Credit Card
374,33684,14.51,2025-12-05 05:50:47.512,PayPal
375,13090,15.57,2025-09-14 22:40:32.591,Cash
376,24785,55.7,2026-01-25 04:28:21.653,PayPal
377,54195,114.7,2025-04-18 14:21:05.853,PayPal
378,17085,46.03,2025-06-19 19:22:28.882,Bank Transfer
379,23885,64.63,2026-02-27 06:17:55.354,PayPal
380,58137,103.83,2025-11-23 12:04:43.523,Bank Transfer
381,42262,142.0,2025-04-06 07:16:27.114,PayPal
382,37246,115.33,2026-01-28 02:39:07.140,Credit Card
383,15248,147.63,2025-11-16 12:17:37.668,PayPal
384,57045,64.61,2025-07-24 11:48:33.357,Cash
385,77215,81.99,2025-05-14 14:01:17.598,PayPal
386,1354,64.56,2026-01-31 11:59:42.108,Bank Transfer
387,85526,83.11,2025-09-21 08:11:35.563,Cash
388,80990,64.06,2025-03-10 09:57:42.881,Credit Card
389,64243,59.57,2025-07-01 23:01:46.517,Bank Transfer
390,78220,119.34,2025-11-29 13:23:08.608,Bank Transfer
391,97379,138.02,2025-09-18 00:17:22.521,Cash
392,28820,133.52,2025-06-02 21:11:09.862,PayPal
393,33134,10.72,2025-10-14 04:09:33.252,Bank Transfer
394,95450,29.75,2025-11-28 06:40:45.354,Credit Card
395,79699,121.85,2025-09-20 07:50:30.160,Cash
396,42722,103.78,2025-05-23 19:53:20.127,Bank Transfer
397,67446,108.06,2025-05-02 03:04:11.157,Cash
398,7756,133.44,2026-02-06 08:54:20.911,PayPal
399,16815,110.97,2026-02-27 07:43:50.747,Bank Transfer
400,88592,93.01,2025-10-30 01:45:59.604,PayPal
401,98907,118.64,2026-02-13 04:52:40.402,Cash
402,36163,33.19,2026-01-27 20:41:16.277,Bank Transfer
403,36662,149.43,2025-10-01 21:48:57.514,Credit Card
404,12919,136.49,2025-08-25 12:13:30.100,Credit Card
405,90863,20.64,2025-04-26 10:18:49.048,Bank Transfer
406,41464,27.46,2026-02-11 11:37:42.411,PayPal
407,35810,25.21,2025-09-24 20:08:34.992,Cash
408,37231,121.04,2025-04-26 03:09:30.688,Cash
409,16018,114.64,2025-05-10 12:47:31.809,PayPal
410,15062,89.7,2025-06-01 16:43:23.439,Credit Card
411,53096,138.12,2025-04-01 21:44:37.989,Credit Card
412,15569,123.03,2025-11-26 19:01:23.265,PayPal
413,21363,47.82,2025-05-30 23:11:42.033,PayPal
414,81831,43.46,2025-12-20 01:07:55.881,Bank Transfer
415,73048,89.93,2025-03-21 00:12:35.866,PayPal
416,67766,128.27,2026-01-22 23:27:16.747,Bank Transfer
417,6267,72.29,2025-07-16 12:24:20.756,Bank Transfer
418,5613,24.9,2025-06-14 22:47:29.396,Bank Transfer
419,95734,123.84,2025-06-06 23:18:08.287,Credit Card
420,84181,36.57,2025-04-15 13:30:30.585,Credit Card
421,57425,86.72,2025-10-12 14:15:16.639,Credit Card
422,49420,67.66,2025-11-11 01:11:23.978,Credit Card
423,55261,81.04,2025-09-01 13:37:08.752,PayPal
424,17033,41.73,2026-02-11 00:21:57.985,PayPal
425,8997,6.14,2025-04-09 15:10:09.435,Cash
426,76674,66.28,2025-06-30 01:40:03.618,Cash
427,73526,68.95,2025-10-03 06:50:04.707,Cash
428,4769,143.27,2025-09-04 01:43:50.090,Credit Card
429,63091,114.99,2025-05-19 01:28:22.473,Cash
430,16457,58.56,2025-10-31 16:14:58.168,Credit Card
431,19369,54.31,2025-05-04 20:19:26.270,Bank Transfer
432,26057,88.27,2025-12-01 18:21:40.734,Bank Transfer
433,67453,72.46,2025-06-28 22:47:03.524,Cash
434,16091,38.27,2025-06-28 13:39:38.646,Cash
435,28824,105.57,2025-08-25 15:21:32.375,Bank Transfer
436,66616,124.12,2025-06-27 10:34:37.133,Cash
437,38397,98.29,2025-09-15 08:05:59.203,Bank Transfer
438,40444,38.55,2025-08-22 04:06:25.516,PayPal
439,27825,24.32,2026-01-06 06:00:15.886,PayPal
440,86518,115.32,2025-07-01 00:56:17.779,PayPal
441,44190,110.85,2025-06-28 22:56:22.121,Bank Transfer
442,69676,133.42,2025-03-07 02:52:59.726,Bank Transfer
443,83057,85.76,2025-10-03 10:54:33.083,Bank Transfer
444,73311,108.88,2025-03-13 13:17:45.510,PayPal
445,77358,148.69,2025-04-02 06:27:07.141,Cash
446,12861,65.75,2025-04-22 04:32:07.772,Credit Card
447,5572,32.15,2025-09-16 08:41:37.531,Credit Card
448,96955,26.68,2026-03-01 12:43:28.733,Cash
449,24770,45.84,2025-09-11 07:38:09.315,Cash
450,62434,38.18,2025-04-06 14:31:04.080,Bank Transfer
451,45324,41.62,2026-02-15 17:23:58.620,Cash
452,14746,140.93,2025-10-15 01:50:43.198,Credit Card
453,97009,99.1,2025-11-17 02:08:11.753,PayPal
454,14975,103.76,2025-06-25 01:30:01.329,Credit Card
455,54776,113.89,2025-12-18 23:40:34.044,Cash
456,7396,96.84,2025-09-11 16:07:28.422,Bank Transfer
457,28272,33.75,2025-11-04 14:05:54.873,Cash
458,84668,20.05,2025-08-27 17:11:16.715,PayPal
459,95065,36.08,2025-06-30 23:14:38.259,PayPal
460,47180,58.44,2025-06-19 03:54:48.889,Credit Card
461,8798,127.54,2025-05-26 21:17:46.437,Credit Card
462,383,78.59,2025-06-10 20:38:09.164,PayPal
463,49847,26.9,2025-06-14 07:31:04.650,PayPal
464,2188,67.45,2025-08-04 07:03:38.828,Cash
465,32486,42.66,2025-04-21 14:47:53.801,Credit Card
466,61787,110.96,2025-08-05 20:23:52.257,PayPal
467,30317,24.55,2025-08-17 22:09:04.395,PayPal
468,71571,68.85,2026-01-17 06:02:23.234,PayPal
469,57368,129.72,2025-06-26 02:59:28.671,Credit Card
470,23586,25.96,2025-04-18 19:57:37.017,PayPal
