ShipmentID,TrackingNumber,SenderID,ReceiverID,OriginHubID,DestinationHubID,CreatedDate,PromisedDeliveryDate,DeliveredDate,ServiceType,PackageWeight_KG,PackageVolume_CM3,DeclaredValue,ShippingFee,StatusID,MaterialID,FinalFailureReasonID
93,TRK-589344929,58604,7856,7,1,2025-10-08 00:00:00.000,2025-10-11 00:00:00.000,2025-10-11 00:00:00.000,Express,17.04,8357.46,627.65,8.97,5,10,
94,TRK-342790894,16382,39575,1,10,2025-12-15 00:00:00.000,2025-12-16 00:00:00.000,2025-12-15 00:00:00.000,Same-Day,34.16,8371.75,1316.07,96.05,5,78,
95,TRK-353167775,10474,16037,1,12,2025-11-25 00:00:00.000,2025-11-28 00:00:00.000,2025-11-28 00:00:00.000,Express,31.19,4914.27,232.89,42.14,5,82,
96,TRK-355183928,35536,93171,11,5,2025-04-04 00:00:00.000,2025-04-11 00:00:00.000,2025-04-12 00:00:00.000,Standard,37.34,4690.23,1879.23,27.23,5,22,
97,TRK-582668694,99591,79315,10,11,2025-04-05 00:00:00.000,2025-04-08 00:00:00.000,2025-04-08 00:00:00.000,Express,3.06,4139.04,931.46,12.8,5,69,
98,TRK-381392516,55829,76482,4,12,2025-03-26 00:00:00.000,2025-04-02 00:00:00.000,2025-04-02 00:00:00.000,Standard,33.62,499.72,948.67,23.76,5,94,
99,TRK-962079730,38765,33022,9,3,2025-04-03 00:00:00.000,2025-04-10 00:00:00.000,2025-04-09 00:00:00.000,Standard,15.75,4241.08,555.49,88.28,5,32,
100,TRK-256005118,51256,37563,9,5,2026-01-02 00:00:00.000,2026-01-09 00:00:00.000,,Standard,33.43,3489.68,1302.02,81.16,6,21,12
101,TRK-344842253,50990,54762,4,1,2025-11-27 00:00:00.000,2025-11-30 00:00:00.000,2025-11-30 00:00:00.000,Express,40.88,7156.36,1070.61,48.83,5,60,
102,TRK-427057027,79417,44341,3,10,2025-05-27 00:00:00.000,2025-06-03 00:00:00.000,2025-06-03 00:00:00.000,Standard,15.0,6679.95,653.12,55.32,5,49,
103,TRK-828255133,30260,46491,11,11,2025-04-16 00:00:00.000,2025-04-23 00:00:00.000,2025-04-23 00:00:00.000,Standard,38.01,6790.05,1384.04,42.77,5,35,
104,TRK-164717037,25883,65731,10,1,2025-04-06 00:00:00.000,2025-04-13 00:00:00.000,2025-04-16 00:00:00.000,Standard,37.49,2812.47,1327.76,142.02,5,82,
105,TRK-893475519,86669,90846,1,6,2025-09-11 00:00:00.000,2025-09-12 00:00:00.000,2025-09-11 00:00:00.000,Same-Day,34.96,4570.89,481.39,13.47,5,89,
106,TRK-324699020,70484,13433,5,1,2025-11-05 00:00:00.000,2025-11-08 00:00:00.000,2025-11-07 00:00:00.000,Express,1.76,8882.38,1844.05,149.8,5,72,
107,TRK-886715320,30809,36770,6,2,2026-02-17 00:00:00.000,2026-02-18 00:00:00.000,,Same-Day,2.71,4324.54,76.28,93.6,6,29,2
108,TRK-366591281,39566,87859,10,2,2025-09-24 00:00:00.000,2025-09-27 00:00:00.000,2025-09-26 00:00:00.000,Express,19.74,7327.54,1009.85,39.83,5,88,
109,TRK-119844684,91692,70355,11,4,2025-05-30 00:00:00.000,2025-06-02 00:00:00.000,,Express,25.52,8715.96,110.57,37.45,6,42,6
110,TRK-398838528,24693,73762,12,4,2025-08-16 00:00:00.000,2025-08-23 00:00:00.000,2025-08-23 00:00:00.000,Standard,10.75,2098.47,576.66,31.4,5,99,
111,TRK-130904672,78517,25102,6,3,2025-12-03 00:00:00.000,2025-12-06 00:00:00.000,2025-12-06 00:00:00.000,Express,31.11,5895.69,1052.94,112.5,5,100,
112,TRK-432702406,99195,1075,7,12,2025-11-26 00:00:00.000,2025-12-03 00:00:00.000,,Standard,6.23,4945.74,1282.47,9.86,6,8,5
113,TRK-245018401,69028,69883,7,4,2025-04-02 00:00:00.000,2025-04-09 00:00:00.000,2025-04-09 00:00:00.000,Standard,18.4,7936.48,873.79,16.74,5,30,
114,TRK-169296757,46689,99250,9,1,2025-12-03 00:00:00.000,2025-12-06 00:00:00.000,2025-12-06 00:00:00.000,Express,44.92,246.31,255.61,112.83,5,5,
115,TRK-129300114,5700,29126,10,9,2025-09-15 00:00:00.000,2025-09-22 00:00:00.000,2025-09-26 00:00:00.000,Standard,17.97,5393.15,1142.72,123.77,5,41,
116,TRK-106915493,40567,93163,10,4,2025-03-11 00:00:00.000,2025-03-18 00:00:00.000,2025-03-18 00:00:00.000,Standard,45.45,2677.33,1090.1,86.63,5,52,
117,TRK-276126357,21447,16568,5,8,2026-02-09 00:00:00.000,2026-02-12 00:00:00.000,2026-02-12 00:00:00.000,Express,21.36,3429.73,431.28,6.02,5,35,
118,TRK-238556591,97700,22879,5,8,2025-10-10 00:00:00.000,2025-10-17 00:00:00.000,2025-10-17 00:00:00.000,Standard,40.79,4044.2,1544.96,112.76,5,9,
119,TRK-653552057,78679,56670,10,9,2025-06-27 00:00:00.000,2025-06-30 00:00:00.000,2025-06-30 00:00:00.000,Express,32.45,5345.62,1720.09,68.32,5,28,
120,TRK-143665365,17588,84325,8,4,2025-08-26 00:00:00.000,2025-08-29 00:00:00.000,2025-08-30 00:00:00.000,Express,6.63,4442.25,851.03,123.85,5,73,
121,TRK-316634117,85590,22906,2,5,2025-03-18 00:00:00.000,2025-03-25 00:00:00.000,2025-03-28 00:00:00.000,Standard,32.88,5387.26,545.22,17.73,5,92,
122,TRK-178718569,83837,78178,9,8,2025-05-31 00:00:00.000,2025-06-07 00:00:00.000,2025-06-07 00:00:00.000,Standard,16.44,8127.42,1863.31,148.56,5,41,
123,TRK-701936554,78916,57439,5,1,2025-07-03 00:00:00.000,2025-07-04 00:00:00.000,2025-07-03 00:00:00.000,Same-Day,32.78,4311.69,750.96,39.76,5,28,
124,TRK-482805451,43442,52778,8,9,2025-05-02 00:00:00.000,2025-05-05 00:00:00.000,2025-05-04 00:00:00.000,Express,33.66,3347.29,338.08,18.54,5,84,
125,TRK-120620448,64346,16033,8,4,2025-12-30 00:00:00.000,2026-01-02 00:00:00.000,2026-01-01 00:00:00.000,Express,3.44,4595.19,,141.41,5,64,
126,TRK-403227235,30832,24417,1,11,2026-02-18 00:00:00.000,2026-02-25 00:00:00.000,,Standard,32.48,6148.46,1339.36,81.38,6,51,5
127,TRK-546250231,46221,16851,1,7,2025-04-13 00:00:00.000,2025-04-16 00:00:00.000,2025-04-16 00:00:00.000,Express,4.36,5426.92,1510.51,65.66,5,83,
128,TRK-311074887,33878,78750,6,12,2025-08-14 00:00:00.000,2025-08-21 00:00:00.000,,Standard,24.37,5795.76,104.86,38.9,6,59,1
129,TRK-858273705,69313,76424,12,3,2025-05-07 00:00:00.000,2025-05-10 00:00:00.000,2025-05-09 00:00:00.000,Express,13.05,2299.28,1797.78,20.31,5,19,
130,TRK-326732145,64940,94831,9,8,2025-10-29 00:00:00.000,2025-11-01 00:00:00.000,2025-10-24 00:00:00.000,Express,20.1,1125.63,1494.08,121.41,5,34,
131,TRK-270147594,95008,78711,7,7,2025-12-01 00:00:00.000,2025-12-04 00:00:00.000,2025-12-03 00:00:00.000,Express,16.16,3722.66,255.77,6.78,5,18,
132,TRK-90433152,15389,46233,9,3,2025-09-01 00:00:00.000,2025-09-04 00:00:00.000,2025-09-04 00:00:00.000,Express,18.86,9922.82,839.31,40.92,5,32,
133,TRK-535037445,67871,140,7,1,2025-05-04 00:00:00.000,2025-05-11 00:00:00.000,2025-05-10 00:00:00.000,Standard,22.42,333.84,1442.76,53.59,5,96,
134,TRK-969607351,72258,57069,8,3,2025-08-01 00:00:00.000,2025-08-04 00:00:00.000,2025-08-04 00:00:00.000,Express,42.01,5147.65,67.03,133.04,5,72,
135,TRK-233652427,62498,7088,9,1,2025-07-24 00:00:00.000,2025-07-31 00:00:00.000,2025-07-31 00:00:00.000,Standard,49.41,5599.46,108.1,108.05,5,69,
136,TRK-415290992,76296,89259,7,1,2025-07-03 00:00:00.000,2025-07-06 00:00:00.000,2025-07-05 00:00:00.000,Express,20.99,2723.47,1675.88,111.77,5,34,
137,TRK-56373528,91443,99975,5,12,2025-10-28 00:00:00.000,2025-11-04 00:00:00.000,2025-11-04 00:00:00.000,Standard,4.2,2464.35,493.58,53.24,5,96,
138,TRK-130216957,31811,78442,11,11,2025-04-09 00:00:00.000,2025-04-16 00:00:00.000,2025-04-15 00:00:00.000,Standard,9.5,5716.12,91.2,99.04,5,75,
139,TRK-508575020,72055,86017,9,12,2025-07-16 00:00:00.000,2025-07-17 00:00:00.000,,Same-Day,49.3,8025.51,796.78,98.04,6,55,4
140,TRK-114692799,78866,67056,9,8,2025-08-13 00:00:00.000,2025-08-16 00:00:00.000,2025-08-17 00:00:00.000,Express,6.87,7424.57,343.87,71.23,5,75,
141,TRK-119448165,11166,7799,7,10,2025-07-04 00:00:00.000,2025-07-05 00:00:00.000,2025-07-05 00:00:00.000,Same-Day,8.19,4120.7,553.53,92.43,5,52,
142,TRK-316392263,93313,37552,3,3,2025-11-30 00:00:00.000,2025-12-07 00:00:00.000,2025-12-06 00:00:00.000,Standard,49.26,3908.4,745.96,104.04,5,47,
143,TRK-689199327,43013,69523,6,10,2025-09-25 00:00:00.000,2025-10-02 00:00:00.000,2025-10-01 00:00:00.000,Standard,37.11,9225.48,74.24,49.04,5,29,
144,TRK-464656911,47688,16289,3,6,2025-11-05 00:00:00.000,2025-11-12 00:00:00.000,2025-11-14 00:00:00.000,Standard,20.16,979.29,146.06,67.04,5,18,
145,TRK-568255046,41481,86875,2,1,2026-02-22 00:00:00.000,2026-03-01 00:00:00.000,,Standard,14.98,5726.44,1704.58,118.03,6,66,1
146,TRK-808843234,83220,54488,10,6,2026-02-04 00:00:00.000,2026-02-11 00:00:00.000,,Standard,25.8,7419.66,25.56,148.06,6,64,10
147,TRK-411603048,80737,30455,3,1,2025-09-26 00:00:00.000,2025-10-03 00:00:00.000,2025-10-02 00:00:00.000,Standard,43.79,4100.39,1402.51,40.86,5,12,
148,TRK-43590298,65476,58342,5,1,2026-01-11 00:00:00.000,2026-01-18 00:00:00.000,2026-01-17 00:00:00.000,Standard,27.78,4085.46,910.95,114.07,5,97,
149,TRK-489385496,33229,55556,6,6,2025-10-06 00:00:00.000,2025-10-13 00:00:00.000,2025-10-13 00:00:00.000,Standard,32.43,2607.91,932.25,148.28,5,7,
150,TRK-241890940,42615,94991,7,11,2025-12-01 00:00:00.000,2025-12-04 00:00:00.000,2025-12-07 00:00:00.000,Express,22.64,4087.49,657.99,138.64,5,15,
151,TRK-833788039,95476,89279,10,10,2025-10-03 00:00:00.000,2025-10-10 00:00:00.000,2025-10-09 00:00:00.000,Standard,38.22,2332.03,1260.79,133.19,5,20,
152,TRK-532321174,80632,76259,12,7,2026-01-25 00:00:00.000,2026-01-28 00:00:00.000,2026-01-27 00:00:00.000,Express,41.09,7279.45,1772.53,46.81,5,81,
153,TRK-219664086,55436,94163,6,7,2025-07-28 00:00:00.000,2025-07-31 00:00:00.000,,Express,8.66,2738.79,1169.83,126.83,6,21,15
154,TRK-152243658,55691,98593,2,8,2025-06-15 00:00:00.000,2025-06-18 00:00:00.000,2025-06-18 00:00:00.000,Express,13.53,9458.07,320.44,84.73,5,88,
155,TRK-109212322,99525,9817,7,3,2025-11-27 00:00:00.000,2025-12-04 00:00:00.000,2025-12-04 00:00:00.000,Standard,2.02,6966.39,1579.84,51.78,5,55,
